                                     Institute                                                                                                                                              Academic Program Name Quota     Seat Type                                Gender Opening Rank Closing Rank
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral          257          292
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)          685          685
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral          443          740
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         1244         2120
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI OBC-NCL (PwD)                        Gender-Neutral           52           52
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral          240          439
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)          850         1329
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          193          291
   Indian Institute  of Technology Bhubaneswar                                                                                                 Computer Science and Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          462          462
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral         2584         2918
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)         5150         5150
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral          415          415
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral          961         1062
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL Female-only (including Supernumerary)         2251         2251
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI OBC-NCL (PwD)                        Gender-Neutral          63P          63P
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral          265          265
   Indian Institute  of Technology Bhubaneswar                                                                        Computer Science and Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST                        Gender-Neutral          378          378
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral         5104         6606
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        12517        12517
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         1002         1002
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS Female-only (including Supernumerary)         2116         2116
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         2036         2640
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral         1664         1664
   Indian Institute  of Technology Bhubaneswar                                         Electrical  Engineering and M.Tech Power Electronics and Drives (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST                        Gender-Neutral          833          833
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral         4556         5877
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)         9244        12085
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI    OPEN (PwD)                        Gender-Neutral         148P         148P
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral          729          889
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         1648         1648
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral         1721         2200
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         4548         5064
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral         1061         1578
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)         1348         1833
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          539          655
   Indian Institute  of Technology Bhubaneswar                                                                                                           Electrical Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          999          999
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral         3006         4174
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)         7307         8253
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI    OPEN (PwD)                        Gender-Neutral          73P         166P
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral          471          499
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         1101         1101
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral         1085         1548
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         3079         3173
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral          762         1055
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)         1499         1640
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          341          518
   Indian Institute  of Technology Bhubaneswar                                                                                        Electronics and Communication Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)          680          680
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI          OPEN                        Gender-Neutral         7084         8741
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI          OPEN Female-only (including Supernumerary)        11522        16420
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI           EWS                        Gender-Neutral         1081         1315
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI           EWS Female-only (including Supernumerary)         2293         3464
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL                        Gender-Neutral         2593         3237
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI       OBC-NCL Female-only (including Supernumerary)         5627         7337
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI            SC                        Gender-Neutral         1429         1799
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI            SC Female-only (including Supernumerary)         2821         2821
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI            ST                        Gender-Neutral          841          875
   Indian Institute  of Technology Bhubaneswar                                                                                                           Mechanical Engineering (4 Years, Bachelor of Technology)    AI            ST Female-only (including Supernumerary)         659P         659P
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral         8790         9791
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        15815        15815
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         1562         1562
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         3583         3602
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL Female-only (including Supernumerary)         7717         7717
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral         2175         2177
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST                        Gender-Neutral          915          915
   Indian Institute  of Technology Bhubaneswar                                         Mechanical Engineering and M. Tech. in Mechanical System Design (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST Female-only (including Supernumerary)         893P         893P
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral         9807        10849
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        20283        20283
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         1754         1865
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         3664         4047
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL Female-only (including Supernumerary)         8172         8172
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral         2348         2348
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC Female-only (including Supernumerary)         468P         468P
   Indian Institute  of Technology Bhubaneswar                                    Mechanical Engineering and M. Tech. in Thermal Science & Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            ST                        Gender-Neutral          933          933
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN                        Gender-Neutral        10311        10718
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI          OPEN Female-only (including Supernumerary)        19591        19591
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI           EWS                        Gender-Neutral         1667         1816
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL                        Gender-Neutral         3468         4156
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI       OBC-NCL Female-only (including Supernumerary)         8149         8149
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC                        Gender-Neutral         2096         2346
   Indian Institute  of Technology Bhubaneswar                                        Mechanical Engineering with M.Tech. in Manufacturing Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))    AI            SC Female-only (including Supernumerary)        1548P        1548P
